solar_data,solar_hashes,dump_data,dump_hashes
A3034KR4301HA26280080021500000184009242512001900023900181002140002038300022404735ÿ,2013-09-27 09:24:25.154747,A3034KR4301HA26280080021500000184009242512001900023900181002140002038300022404735ÿ,2013-09-27 09:24:25.147897
A3034KR4301HA26280080023100000014009230011001900023900181002300001926000021159260ÿ,2013-09-27 09:23:00.141650,A3034KR4301HA26280080023100000014009230011001900023900181002300001926000021159260ÿ,2013-09-27 09:23:00.135776
A3034KR4301HA26280080024100000084009291586001900024300181002420002496500027580435ÿ,2013-09-27 09:29:15.891620,A3034KR4301HA26280080024100000084009291586001900024300181002420002496500027580435ÿ,2013-09-27 09:29:15.885652
A3034KR4301HA26280080021900000014009261718001900023900181002200002176400023872955ÿ,2013-09-27 09:26:17.209715,A3034KR4301HA26280080021900000014009261718001900023900181002200002176400023872955ÿ,2013-09-27 09:26:17.206950
A3034KR4301HA26280080023300000044009282354001900023900181002320002358300025937215ÿ,2013-09-27 09:28:23.562746,A3034KR4301HA26280080023300000044009282354001900023900181002320002358300025937215ÿ,2013-09-27 09:28:23.561230
A3034KR4301HA26280080021300000054009242955001900023900181002140002055600022588535ÿ,2013-09-27 09:24:29.580746,A3034KR4301HA26280080021300000054009242955001900023900181002140002055600022588535ÿ,2013-09-27 09:24:29.576888
A3034KR4301HA26280080022000000074009265426001900023900181002210002214700024297330ÿ,2013-09-27 09:26:54.302718,A3034KR4301HA26280080022000000074009265426001900023900181002210002214700024297330ÿ,2013-09-27 09:26:54.297700
A3034KR4301HA26280080023500000094009313355001900024300181002360002609400028925530ÿ,2013-09-27 09:31:33.573622,A3034KR4301HA26280080023500000094009313355001900024300181002360002609400028925530ÿ,2013-09-27 09:31:33.568715
A3034KR4301HA26280080023600000054009292885001900024300181002370002519500027855850ÿ,2013-09-27 09:29:28.880622,A3034KR4301HA26280080023600000054009292885001900024300181002370002519500027855850ÿ,2013-09-27 09:29:28.875934
A3034KR4301HA26280080024100000014009291011001900024200181002420002485100027442635ÿ,2013-09-27 09:29:10.155619,A3034KR4301HA26280080024100000014009291011001900024200181002420002485100027442635ÿ,2013-09-27 09:29:10.154536
A3034KR4301HA26280080023500000144009290019001900024200181002340002464000027190735ÿ,2013-09-27 09:29:00.232625,A3034KR4301HA26280080023500000144009290019001900024200181002340002464000027190735ÿ,2013-09-27 09:29:00.230123
A3034KR4301HA26280080021900000014009261192001900023900181002180002174200023848885ÿ,2013-09-27 09:26:11.945713,A3034KR4301HA26280080021900000014009261192001900023900181002180002174200023848885ÿ,2013-09-27 09:26:11.939306
A3034KR4301HA26280080022900000034009233668001900023900181002300001942500021349365ÿ,2013-09-27 09:23:36.713654,A3034KR4301HA26280080022900000034009233668001900023900181002300001942500021349365ÿ,2013-09-27 09:23:36.706718
A3034KR4301HA26280080021800000014009242143001900023900181002190002023200022242230ÿ,2013-09-27 09:24:21.462744,A3034KR4301HA26280080021800000014009242143001900023900181002190002023200022242230ÿ,2013-09-27 09:24:21.454602
A3034KR4301HA26280080023800000074009303309001900024300181002370002575100028517615ÿ,2013-09-27 09:30:33.122619,A3034KR4301HA26280080023800000074009303309001900024300181002370002575100028517615ÿ,2013-09-27 09:30:33.111935
A3034KR4301HA26280080021600000084009242332001900023900181002150002029700022312450ÿ,2013-09-27 09:24:23.352745,A3034KR4301HA26280080021600000084009242332001900023900181002150002029700022312450ÿ,2013-09-27 09:24:23.344483
A3034KR4301HA26280080022700000124009280956001900023900181002280002335100025670160ÿ,2013-09-27 09:28:09.607749,A3034KR4301HA26280080022700000124009280956001900023900181002280002335100025670160ÿ,2013-09-27 09:28:09.606243
A3034KR4301HA26280080020900000034009245520001900023900181002080002098500023041400ÿ,2013-09-27 09:24:55.218559,A3034KR4301HA26280080020900000034009245520001900023900181002080002098500023041400ÿ,2013-09-27 09:24:55.217778
A3034KR4301HA26280080022200000094009270329001900023900181002210002222600024384425ÿ,2013-09-27 09:27:03.319752,A3034KR4301HA26280080022200000094009270329001900023900181002210002222600024384425ÿ,2013-09-27 09:27:03.318480
A3034KR4301HA26280080023700000014009320305001900024300181002380002628600029152465ÿ,2013-09-27 09:32:03.078621,A3034KR4301HA26280080023700000014009320305001900024300181002380002628600029152465ÿ,2013-09-27 09:32:03.073774
A3034KR4301HA26280080023700000024009303791001900024300181002380002579300028567585ÿ,2013-09-27 09:30:37.935620,A3034KR4301HA26280080023700000024009303791001900024300181002380002579300028567585ÿ,2013-09-27 09:30:37.934954
A3034KR4301HA26280080023300000024009223513001900023900181002340001910700020981535ÿ,2013-09-27 09:22:35.164650,A3034KR4301HA26280080023300000024009223513001900023900181002340001910700020981535ÿ,2013-09-27 09:22:35.156519
A3034KR4301HA26280080021300000034009242649001900023900181002140002043900022464575ÿ,2013-09-27 09:24:26.517747,A3034KR4301HA26280080021300000034009242649001900023900181002140002043900022464575ÿ,2013-09-27 09:24:26.516838
A3034KR4301HA26280080022200000014009234977001900023900181002210001977900021746015ÿ,2013-09-27 09:23:49.800655,A3034KR4301HA26280080022200000014009234977001900023900181002210001977900021746015ÿ,2013-09-27 09:23:49.793949
A3034KR4301HA26280080023400000014009282681001900023900181002350002373100026110070ÿ,2013-09-27 09:28:26.857752,A3034KR4301HA26280080023400000014009282681001900023900181002350002373100026110070ÿ,2013-09-27 09:28:26.854486
A3034KR4301HA26280080022700000014009273509001900023900181002260002270900024929600ÿ,2013-09-27 09:27:35.132746,A3034KR4301HA26280080022700000014009273509001900023900181002260002270900024929600ÿ,2013-09-27 09:27:35.128603
